Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
e3b223b5e4d7a429578db3c5189484a6	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
8d2f4d8ac05edc7737edf2efb1d6187c	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	g__Hyphodermella	s__Hyphodermella_rosae
ca67f97e5f45f91d9fcf992a15f57327	k__Fungi	p__Chytridiomycota	c__Rhizophlyctidomycetes	o__Rhizophlyctidales	f__Rhizophlyctidaceae	g__Rhizophlyctis	s__unidentified
fc4b60fd43a87956e940bf75e10be393	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
0e3c196ce01b55193c01a5c6cd3d6821	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
3d6a7517942dfcced1ca7ba409dc1382	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	s__Coprinellus_micaceus
0e1b9f4a73dabb1d64561f3a1c95e2b8	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
cefbd4b48c132640caebe90e7a6910c5	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__NA	f__NA	g__NA	s__NA
baed853777f7d707c426aa65ab093957	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Udeniozyma	s__unidentified
d758f0fe471c4acd984730e6863c82ba	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__NA	s__NA
c7770e9fd1bdc1e64bbba9ea10c2358f	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
20124ceee4f4129741f1f7357e84b008	k__Fungi	p__Glomeromycota	c__Paraglomeromycetes	o__Paraglomerales	f__Paraglomeraceae	g__Paraglomus	s__Paraglomus_laccatum
2d4598b370bcdd6a6c902abcbcae374b	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
c38a03ce343939850560a0d8b33df2db	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
cdac4aa36983c7c04c8a101001d9b871	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Kalmusia	s__Kalmusia_variispora
511d75f09b5383fa7c283ea167ef905b	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
38f40b5ba87a2cee259ec17ce90f059a	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Stephanosporaceae	g__Lindtneria	s__NA
f7ed6dc67cd28b79b07659afbfae2260	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__NA	g__NA	s__NA
966dfb6f944973b2b7438551376c67fe	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_indohii
f0d97d8db94e0b481484737ce0edf950	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
4113c93514e27bc1c55c80d6eb50b7d5	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__unidentified	s__unidentified
6409ac53428fdd00098cef3201d48c13	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	s__Talaromyces_purpureus
9eb40b91f09dd51ab750cf532e281c23	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
716dcfab682ff5fc0488ec05310610e0	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__unidentified	s__unidentified
5ad8759f0a3fffda04fa627c7e925393	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
480e8b11bf3f1a854bb25d5f66b58fe2	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
bcb017d03ce07bf05ebe39ceb3977ff3	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__naganishia	s__naganishia_friedmannii
4890e77b626ef93794bbe6e82c83e9fb	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__NA	g__NA	s__NA
581048a48fd32ba9d6f17056884edfe9	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
c56963202c33395ae5593ad8e12da024	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__NA	f__NA	g__NA	s__NA
70d438ee9f5e4152221a32b7e770b7cb	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
bdd1ad35df37395648027c7a37c15043	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	g__Hyphodermella	s__Hyphodermella_rosae
4a50d6ee4cc076cb3dc354d2324bf880	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
4e26653ae45bd09f2e41f08be8288ad2	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
0bcbc846dee6f7e7559cae4947f79886	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
79e4e7d837c8b68b4cdf385c43dce718	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
85ce1fae6425e0d607fbcd14f3646db9	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
28bbf823f75e0a6e88c580729f5006b6	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
083e59dc2fdb6b3f4bcf6f3f4a598d84	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
30855346a035b1a693b8afd8e2175a82	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus_ruber
23aad935cedbc138cfbd5be97979e143	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__NA	g__NA	s__NA
bf1392702a1b3f731c5bd58e3995a638	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
903897cec93b84b8962ea273a855fc46	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
4c0456a89eea64e4d69eed796759cd4e	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiales_fam_Incertae_sedis	g__Sakaguchia	s__Sakaguchia_lamellibrachiae
5e2bb0088ae57fafaae2032227f88370	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
